,Case Number,Year,Type,Country,Types,Decade
0,2018.06.25,2018,Boating,USA,Boating,2010.0
1,2018.06.18,2018,Unprovoked,USA,Unprovoked,2010.0
2,2018.05.27,2018,Unprovoked,USA,Unprovoked,2010.0
3,2018.05.26.b,2018,Unprovoked,USA,Unprovoked,2010.0
4,2018.05.26.a,2018,Unprovoked,USA,Unprovoked,2010.0
5,2018.05.21,2018,Unprovoked,USA,Unprovoked,2010.0
6,2018.05.13.b,2018,Unprovoked,USA,Unprovoked,2010.0
7,2018.04.19,2018,Unprovoked,USA,Unprovoked,2010.0
8,2018.03.31,2018,Unprovoked,USA,Unprovoked,2010.0
9,2017.12.31,2017,Unprovoked,USA,Unprovoked,2010.0
10,2017.12.30,2017,Unprovoked,USA,Unprovoked,2010.0
11,2017.11.24,2017,Unprovoked,USA,Unprovoked,2010.0
12,2017.11.18,2017,Unprovoked,USA,Unprovoked,2010.0
13,2017.10.26,2017,Unprovoked,USA,Unprovoked,2010.0
14,2017.10.23.b,2017,Unprovoked,USA,Unprovoked,2010.0
15,2017.10.23.a,2017,Unprovoked,USA,Unprovoked,2010.0
16,2017.10.18,2017,Unprovoked,USA,Unprovoked,2010.0
17,2017.10.09,2017,Unprovoked,USA,Unprovoked,2010.0
18,2017.10.05,2017,Unprovoked,USA,Unprovoked,2010.0
19,2017.09.25.b,2017,Unprovoked,USA,Unprovoked,2010.0
20,2017.09.24.a,2017,Unprovoked,USA,Unprovoked,2010.0
21,2017.09.20,2017,Unprovoked,USA,Unprovoked,2010.0
22,2017.09.16.a,2017,Unprovoked,USA,Unprovoked,2010.0
23,2017.09.13,2017,Unprovoked,USA,Unprovoked,2010.0
24,2017.09.02.c,2017,Unprovoked,USA,Unprovoked,2010.0
25,2017.09.02.b,2017,Unprovoked,USA,Unprovoked,2010.0
26,2017.09.02.a,2017,Unprovoked,USA,Unprovoked,2010.0
27,2017.08.27,2017,Unprovoked,USA,Unprovoked,2010.0
28,2017.08.23,2017,Unprovoked,USA,Unprovoked,2010.0
29,2017.08.10,2017,Unprovoked,USA,Unprovoked,2010.0
30,2017.08.03,2017,Provoked,USA,Provoked,2010.0
31,2017.08.01,2017,Boating,USA,Boating,2010.0
32,2017.07.31,2017,Unprovoked,USA,Unprovoked,2010.0
33,2017.07.29.a,2017,Unprovoked,USA,Unprovoked,2010.0
34,2017.07.23.b,2017,Unprovoked,USA,Unprovoked,2010.0
35,2017.07.22,2017,Unprovoked,USA,Unprovoked,2010.0
36,2017.07.20.b,2017,Boating,USA,Boating,2010.0
37,2017.07.20.a,2017,Unprovoked,USA,Unprovoked,2010.0
38,2017.07.14.b,2017,Unprovoked,USA,Unprovoked,2010.0
39,2017.07.11,2017,Boating,USA,Boating,2010.0
40,2017.07.09,2017,Unprovoked,USA,Unprovoked,2010.0
41,2017.06.21,2017,Unprovoked,USA,Unprovoked,2010.0
42,2017.06.19,2017,Unprovoked,USA,Unprovoked,2010.0
43,2017.06.18.b,2017,Unprovoked,USA,Unprovoked,2010.0
44,2017.06.10.a,2017,Unprovoked,USA,Unprovoked,2010.0
45,2017.06.04,2017,Unprovoked,USA,Unprovoked,2010.0
46,2017.05.30,2017,Provoked,USA,Provoked,2010.0
47,2017.05.28,2017,Unprovoked,USA,Unprovoked,2010.0
48,2017.04.29.d,2017,Unprovoked,USA,Unprovoked,2010.0
49,2017.04.29.b,2017,Unprovoked,USA,Unprovoked,2010.0
50,2017.04.17.b,2017,Unprovoked,USA,Unprovoked,2010.0
51,2017.04.14,2017,Unprovoked,USA,Unprovoked,2010.0
52,2017.04.13,2017,Unprovoked,USA,Unprovoked,2010.0
53,2017.04.12.b,2017,Unprovoked,USA,Unprovoked,2010.0
54,2017.04.11,2017,Unprovoked,USA,Unprovoked,2010.0
55,2017.04.10.b,2017,Unprovoked,USA,Unprovoked,2010.0
56,2017.04.10.a,2017,Unprovoked,USA,Unprovoked,2010.0
57,2017.04.06,2017,Unprovoked,USA,Unprovoked,2010.0
58,2017.04.05,2017,Unprovoked,USA,Unprovoked,2010.0
59,2017.04.02.a,2017,Unprovoked,USA,Unprovoked,2010.0
60,2017.03.27,2017,Unprovoked,USA,Unprovoked,2010.0
61,2017.03.18,2017,Boating,USA,Boating,2010.0
62,2017.02.11,2017,Unprovoked,USA,Unprovoked,2010.0
63,2017.02.01.b,2017,Boating,USA,Boating,2010.0
64,2017.01.22,2017,Unprovoked,USA,Unprovoked,2010.0
65,2017.01.13.a,2017,Unprovoked,USA,Unprovoked,2010.0
66,2017.01.05,2017,Unprovoked,USA,Unprovoked,2010.0
67,2016.12.27,2016,Unprovoked,USA,Unprovoked,2010.0
68,2016.11.14,2016,Unprovoked,USA,Unprovoked,2010.0
69,2016.10.30,2016,Unprovoked,USA,Unprovoked,2010.0
70,2016.10.29,2016,Unprovoked,USA,Unprovoked,2010.0
71,2016.10.21,2016,Unprovoked,USA,Unprovoked,2010.0
72,2016.10.14,2016,Unprovoked,USA,Unprovoked,2010.0
73,2016.10.10,2016,Unprovoked,USA,Unprovoked,2010.0
74,2016.10.02,2016,Unprovoked,USA,Unprovoked,2010.0
75,2016.10.01,2016,Unprovoked,USA,Unprovoked,2010.0
76,2016.09.18.c,2016,Unprovoked,USA,Unprovoked,2010.0
77,2016.09.18.b,2016,Unprovoked,USA,Unprovoked,2010.0
78,2016.09.18.a,2016,Unprovoked,USA,Unprovoked,2010.0
79,2016.09.17.b,2016,Unprovoked,USA,Unprovoked,2010.0
80,2016.09.11,2016,Unprovoked,USA,Unprovoked,2010.0
81,2016.09.07,2016,Unprovoked,USA,Unprovoked,2010.0
82,2016.09.05.b,2016,Unprovoked,USA,Unprovoked,2010.0
83,2016.09.04,2016,Unprovoked,USA,Unprovoked,2010.0
84,2016.09.01,2016,Unprovoked,USA,Unprovoked,2010.0
85,2016.08.29.b,2016,Unprovoked,USA,Unprovoked,2010.0
86,2016.08.29.a,2016,Unprovoked,USA,Unprovoked,2010.0
87,2016.08.25,2016,Unprovoked,USA,Unprovoked,2010.0
88,2016.08.06,2016,Unprovoked,USA,Unprovoked,2010.0
89,2016.08.04,2016,Unprovoked,USA,Unprovoked,2010.0
90,2016.07.27,2016,Provoked,USA,Provoked,2010.0
91,2016.07.17,2016,Boating,USA,Boating,2010.0
92,2016.07.16.b,2016,Unprovoked,USA,Unprovoked,2010.0
93,2016.07.16.a,2016,Unprovoked,USA,Unprovoked,2010.0
94,2016.07.15.b,2016,Unprovoked,USA,Unprovoked,2010.0
95,2016.07.15.a,2016,Unprovoked,USA,Unprovoked,2010.0
96,2016.07.08,2016,Boating,USA,Boating,2010.0
97,2016.07.07.b,2016,Provoked,USA,Provoked,2010.0
98,2016.07.07.a,2016,Boating,USA,Boating,2010.0
99,2016.07.06,2016,Unprovoked,USA,Unprovoked,2010.0
100,2016.06.27,2016,Unprovoked,USA,Unprovoked,2010.0
101,2016.06.25,2016,Unprovoked,USA,Unprovoked,2010.0
102,2016.06.21.b,2016,Unprovoked,USA,Unprovoked,2010.0
103,2016.06.21.a,2016,Unprovoked,USA,Unprovoked,2010.0
104,2016.06.15.b,2016,Unprovoked,USA,Unprovoked,2010.0
105,2016.06.14,2016,Unprovoked,USA,Unprovoked,2010.0
106,2016.06.11,2016,Unprovoked,USA,Unprovoked,2010.0
107,2016.06.05.b,2016,Unprovoked,USA,Unprovoked,2010.0
108,2016.05.29.b,2016,Unprovoked,USA,Unprovoked,2010.0
109,2016.05.29.a,2016,Unprovoked,USA,Unprovoked,2010.0
110,2016.05.22,2016,Unprovoked,USA,Unprovoked,2010.0
111,2016.05.21.b,2016,Unprovoked,USA,Unprovoked,2010.0
112,2016.05.21.a,2016,Unprovoked,USA,Unprovoked,2010.0
113,2016.05.18,2016,Unprovoked,USA,Unprovoked,2010.0
114,2016.05.15,2016,Provoked,USA,Provoked,2010.0
115,2016.05.03,2016,Unprovoked,USA,Unprovoked,2010.0
116,2016.04.23,2016,Unprovoked,USA,Unprovoked,2010.0
117,2016.04.13,2016,Unprovoked,USA,Unprovoked,2010.0
118,2016.04.07.b,2016,Unprovoked,USA,Unprovoked,2010.0
119,2016.03.31,2016,Unprovoked,USA,Unprovoked,2010.0
120,2016.03.28.b,2016,Unprovoked,USA,Unprovoked,2010.0
121,2016.03.11,2016,Unprovoked,USA,Unprovoked,2010.0
122,2016.03.04,2016,Unprovoked,USA,Unprovoked,2010.0
123,2016.01.28,2016,Unprovoked,USA,Unprovoked,2010.0
124,2016.01.25,2016,Unprovoked,USA,Unprovoked,2010.0
125,2016.01.24.b,2016,Unprovoked,USA,Unprovoked,2010.0
126,2016.01.23,2016,Unprovoked,USA,Unprovoked,2010.0
