,Case Number,Year,Type,Country,Types,Decade
0,2018.05.12,2018,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
1,2018.04.22,2018,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
2,2018.04.03,2018,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
3,2018.02.24,2018,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
4,2017.09.03.b,2017,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
5,2017.07.07,2017,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
6,2017.04.29.c,2017,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
7,2017.02.06.a,2017,Boating,SOUTH AFRICA,Boating,2010.0
8,2016.12.19,2016,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
9,2016.06.23,2016,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
10,2016.04.22,2016,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
11,2016.01.29,2016,Boating,SOUTH AFRICA,Boating,2010.0
12,2015.12.26,2015,Boating,SOUTH AFRICA,Boating,2010.0
13,2015.12.08,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
14,2015.10.25,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
15,2015.07.19,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
16,2015.06.27.a,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
17,2015.06.26.b,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
18,2015.05.02,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
19,2015.03.26,2015,Boating,SOUTH AFRICA,Boating,2010.0
20,2015.01.23,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
21,2015.01.03,2015,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
22,2014.08.01,2014,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
23,2014.05.04,2014,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
24,2014.04.12.R,2014,Boat,SOUTH AFRICA,Boating,2010.0
25,2014.04.12,2014,Provoked,SOUTH AFRICA,Provoked,2010.0
26,2014.03.22.b,2014,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
27,2013.12.16,2013,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
28,2013.10.11,2013,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
29,2013.08.08.R,2013,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
30,2013.06.16,2013,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
31,2013.04.14,2013,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
32,2013.03.16.b,2013,Provoked,SOUTH AFRICA,Provoked,2010.0
33,2013.03.16.a,2013,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
34,2013.03.03,2013,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
35,2012.12.25,2012,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
36,2012.07.06,2012,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
37,2012.04.19.a,2012,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
38,2012.02.20,2012,Boat,SOUTH AFRICA,Boating,2010.0
39,2012.01.15,2012,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
40,2011.12.21.a,2011,Boating,SOUTH AFRICA,Boating,2010.0
41,2011.10.28.,2011,Provoked,SOUTH AFRICA,Provoked,2010.0
42,2011.09.28.a,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
43,2011.08.23,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
44,2011.07.22,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
45,2011.06.28,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
46,2011.05.29,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
47,2011.05.21.b,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
48,2011.05.04,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
49,2011.02.02,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
50,2011.01.15,2011,Unprovoked,SOUTH AFRICA,Unprovoked,2010.0
51,2010.10.01,2010,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
52,2010.09.21,2010,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
53,2010.07.04,2010,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
54,2010.04.13,2010,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
55,2010.02.16,2010,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
56,2010.01.12,2010,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
57,2010.01.05,2010,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
58,2009.12.29,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
59,2009.12.18,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
60,2009.08.29,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
61,2009.08.11,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
62,2009.07.07,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
63,2009.03.27,2009,Provoked,SOUTH AFRICA,Provoked,2000.0
64,2009.03.21,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
65,2009.03.02,2009,Provoked,SOUTH AFRICA,Provoked,2000.0
66,2009.01.24.a,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
67,2009.01.13.R,2009,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
68,2008.12.10,2008,Provoked,SOUTH AFRICA,Provoked,2000.0
69,2008.07.30,2008,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
70,2008.06.28.a,2008,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
71,2008.06.26.R,2008,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
72,2008.05.01,2008,Provoked,SOUTH AFRICA,Provoked,2000.0
73,2008.03.28.c,2008,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
74,2008.01.29,2008,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
75,2007.11.07,2007,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
76,2007.11.03,2007,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
77,2007.01.14,2007,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
78,2006.12.06,2006,Provoked,SOUTH AFRICA,Provoked,2000.0
79,2006.11.09,2006,Provoked,SOUTH AFRICA,Provoked,2000.0
80,2006.09.02,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
81,2006.08.15,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
82,2006.08.13,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
83,2006.07.28,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
84,2006.04.09.b,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
85,2006.02.08,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
86,2006.01.25,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
87,2006.01.01,2006,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
88,2005.11.25.a,2005,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
89,2005.11.15,2005,Provoked,SOUTH AFRICA,Provoked,2000.0
90,2005.10.22,2005,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
91,2005.10.01,2005,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
92,2005.06.04,2005,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
93,2005.05.25,2005,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
94,2005.03.28,2005,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
95,2004.11.27,2004,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
96,2004.11.26,2004,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
97,2004.11.15,2004,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
98,2004.10.30.a,2004,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
99,2004.10.09.a,2004,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
100,2004.08.00,2004,Boat,SOUTH AFRICA,Boating,2000.0
101,2004.06.02,2004,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
102,2004.04.05,2004,Unprovoked,SOUTH AFRICA,Unprovoked,2000.0
